file,date,latitude,longitude,ocean,profiler_type,institution,date_update,source,parameters,parameter_data_mode
coriolis/6902923/profiles/D6902923_141.nc,2023-01-06T05:43:30,-7.692,-131.825,P,844,IF,2024-09-10 13:17:08,core,,
aoml/5906726/profiles/D5906726_047.nc,2023-01-07T15:15:07,-0.28,135.837,P,853,AO,2023-09-13 21:34:47,core,,
coriolis/6903103/profiles/D6903103_222.nc,2023-01-10T05:41:40,2.961,-11.287000000000006,A,844,IF,2024-04-04 10:03:24,core,,
aoml/5906737/profiles/D5906737_047.nc,2023-01-16T03:33:59,-10.939,145.78300000000002,P,853,AO,2023-09-13 21:35:37,core,,
aoml/5905147/profiles/D5905147_194.nc,2023-01-21T03:00:55,2.299,-9.163999999999987,A,846,AO,2023-02-10 11:19:18,core,,
aoml/5904973/profiles/D5904973_219.nc,2023-01-22T08:26:55,-8.087,-133.527,P,863,AO,2025-06-08 22:34:12,core,,
aoml/5906728/profiles/D5906728_050.nc,2023-02-07T10:02:00,1.014,132.62099999999998,P,853,AO,2023-09-13 21:34:56,core,,
aoml/5904973/profiles/D5904973_221.nc,2023-02-11T08:32:35,-7.714,-134.043,P,863,AO,2025-06-08 22:34:12,core,,
coriolis/7901018/profiles/D7901018_004.nc,2023-02-11T11:56:20,2.827,-14.462999999999994,A,844,IF,2025-03-06 12:47:31,core,,
aoml/1902401/profiles/D1902401_045.nc,2023-02-18T23:26:37,2.594,-11.784999999999997,A,854,AO,2024-11-27 13:59:53,core,,
aoml/5904973/profiles/D5904973_222.nc,2023-02-21T07:18:01,-7.653,-134.332,P,863,AO,2025-06-08 22:34:13,core,,
csiro/5905417/profiles/D5905417_160.nc,2023-02-21T18:50:15,-15.353,118.19799999999998,I,863,CS,2025-02-28 00:48:12,core,,
coriolis/6902923/profiles/D6902923_146.nc,2023-02-26T06:42:30,-7.509,-131.657,P,844,IF,2024-09-10 13:17:08,core,,
aoml/1902401/profiles/D1902401_046.nc,2023-02-28T21:20:51,2.021,-11.867999999999995,A,854,AO,2024-11-27 13:59:53,core,,
csiro/5905417/profiles/D5905417_161.nc,2023-03-03T18:39:08,-15.095,118.404,I,863,CS,2025-02-28 00:48:12,core,,
