Unnamed: 0,file,date,latitude,longitude,ocean,profiler_type,institution,date_update,month_bin,geometry
445902,aoml/5905083/profiles/D5905083_229.nc,2023-05-27 17:52:07,11.419,69.127,I,846,AO,2023-08-09 09:52:33,2023-05,POINT (69.127 11.419)
318246,csiro/5905404/profiles/D5905404_173.nc,2023-05-28 02:13:39,-13.836,98.924,I,869,CS,2025-05-07 04:00:59,2023-05,POINT (98.924 -13.836)
162431,aoml/5906145/profiles/D5906145_103.nc,2023-06-05 09:38:23,-39.278,102.173,I,853,AO,2024-06-13 18:38:36,2023-06,POINT (102.173 -39.278)
444282,coriolis/6903138/profiles/D6903138_008.nc,2023-06-02 04:26:30,11.794,43.532,I,844,IF,2025-05-21 08:04:04,2023-06,POINT (43.532 11.794)
179808,bodc/1901924/profiles/R1901924_101.nc,2023-07-03 19:08:56,-38.577,43.548,I,846,BO,2023-07-04 13:44:43,2023-07,POINT (43.548 -38.577)
444838,aoml/5905084/profiles/D5905084_234.nc,2023-07-16 14:23:34,11.209,54.208,I,846,AO,2023-08-09 09:53:37,2023-07,POINT (54.208 11.209)
184026,aoml/5906398/profiles/D5906398_121.nc,2023-08-03 05:22:18,-37.056,109.852,I,862,AO,2025-03-04 10:45:32,2023-08,POINT (109.852 -37.056)
285357,incois/2902185/profiles/R2902185_287.nc,2023-08-26 04:44:02,-19.112,60.207,I,846,IN,2023-11-28 00:17:04,2023-08,POINT (60.207 -19.112)
180014,aoml/1902192/profiles/D1902192_199.nc,2023-09-26 19:36:08,-36.812,45.5,I,863,AO,2024-11-05 11:41:40,2023-09,POINT (45.5 -36.812)
444633,aoml/5905084/profiles/D5905084_239.nc,2023-09-04 09:59:28,10.859,53.583,I,846,AO,2024-05-08 10:24:36,2023-09,POINT (53.583 10.859)
203015,aoml/5904796/profiles/D5904796_256.nc,2023-10-10 03:28:18,-35.017,92.898,I,846,AO,2024-05-06 11:30:07,2023-10,POINT (92.898 -35.017)
315544,coriolis/6990505/profiles/R6990505_038.nc,2023-10-04 15:12:31,-13.417,51.094,I,834,IF,2025-04-19 18:09:15,2023-10,POINT (51.094 -13.417)
200966,aoml/1902257/profiles/D1902257_121.nc,2023-11-03 14:30:47,-35.199,54.796,I,853,AO,2024-06-24 19:15:43,2023-11,POINT (54.796 -35.199)
299423,coriolis/5906972/profiles/R5906972_045.nc,2023-11-02 15:55:50,-17.682,41.495,I,834,IF,2024-04-17 14:34:10,2023-11,POINT (41.495 -17.682)
200207,csiro/1901747/profiles/D1901747_143.nc,2023-12-02 04:02:43,-33.591,43.473,I,846,CS,2025-04-14 07:06:24,2023-12,POINT (43.473 -33.591)
287109,aoml/5906258/profiles/D5906258_122.nc,2023-12-05 11:05:22,-20.937,92.238,I,846,AO,2024-05-22 10:06:34,2023-12,POINT (92.238 -20.937)
238902,csiro/1901759/profiles/D1901759_102.nc,2024-01-02 11:17:49,-27.228,67.363,I,869,CS,2024-11-07 05:23:55,2024-01,POINT (67.363 -27.228)
446287,coriolis/1902594/profiles/R1902594_025.nc,2024-01-01 04:17:58,10.936,83.47,I,834,IF,2024-12-10 07:46:51,2024-01,POINT (83.47 10.936)
199468,coriolis/6904071/profiles/D6904071_115.nc,2024-02-19 12:37:20,-35.963,31.458,I,844,IF,2025-08-27 15:19:42,2024-02,POINT (31.458 -35.963)
288148,csiro/5905387/profiles/D5905387_232.nc,2024-02-05 00:23:25,-18.277,105.386,I,846,CS,2024-07-29 06:06:59,2024-02,POINT (105.386 -18.277)
241122,aoml/5904820/profiles/D5904820_266.nc,2024-03-06 04:45:05,-27.404,104.065,I,846,AO,2024-05-07 09:36:19,2024-03,POINT (104.065 -27.404)
241317,csiro/5905475/profiles/D5905475_132.nc,2024-03-08 09:03:55,-27.49,106.221,I,869,CS,2024-11-04 02:28:15,2024-03,POINT (106.221 -27.49)
179390,bodc/3902502/profiles/R3902502_031.nc,2024-04-06 17:07:55,-38.955,36.135,I,846,BO,2024-04-06 20:05:26,2024-04,POINT (36.135 -38.955)
446085,csio/2902768/profiles/D2902768_153.nc,2024-04-13 21:30:50,11.595,80.812,I,841,HZ,2025-06-03 07:43:04,2024-04,POINT (80.812 11.595)
318468,csiro/5905532/profiles/D5905532_053.nc,2024-05-02 09:48:20,-13.73,101.787,I,844,CS,2025-06-13 01:06:17,2024-05,POINT (101.787 -13.73)
178962,csiro/1901764/profiles/R1901764_115.nc,2024-05-13 16:45:24,-36.305,30.706,I,869,CS,2024-05-13 22:33:50,2024-05,POINT (30.706 -36.305)
