month,TEMP_surface_0_100,PSAL_surface_0_100,RHO_surface_0_100,N2_surface_0_100,SOUND_surface_0_100,TEMP_thermocline_100_500,PSAL_thermocline_100_500,RHO_thermocline_100_500,N2_thermocline_100_500,SOUND_thermocline_100_500,TEMP_upper_mesopelagic_500_1000,PSAL_upper_mesopelagic_500_1000,RHO_upper_mesopelagic_500_1000,N2_upper_mesopelagic_500_1000,SOUND_upper_mesopelagic_500_1000,TEMP_lower_mesopelagic_1000_2000,PSAL_lower_mesopelagic_1000_2000,RHO_lower_mesopelagic_1000_2000,N2_lower_mesopelagic_1000_2000,SOUND_lower_mesopelagic_1000_2000
2023-07-01,25.788559,31.554144,1020.0855,0.0017104300409384366,1532.494,11.701018,32.070576,1023.3163,0.0001946030008449839,1496.8741,8.136956,32.029736,1023.99634,-0.0003430842406478357,1491.4819,4.5812407,31.983315,1024.6704,1.4652414257154258e-05,1489.774
2023-08-01,24.306122,31.680548,1020.4832,0.0015571553733303655,1528.8179,11.833216,32.166363,1023.36646,0.00010888690060280453,1497.4686,8.436834,32.1258,1024.0133,-0.00019784393093503933,1492.7507,5.058298,34.415787,1026.521,-0.0005293364145055421,1493.618
2023-09-01,27.53545,33.939247,1021.64435,0.000471185541275883,1539.4109,12.996069,34.977417,1025.3827,-5.1630250404827385e-05,1504.0962,8.006739,34.975132,1026.3788,-1.686040137534235e-05,1494.5386,4.629304,34.847233,1026.9519,-4.643010548460406e-06,1493.1807
2023-10-01,23.668875,34.34261,1022.7403,0.004690598124917052,1528.9855,14.522046,34.873524,1024.9943,-0.0003234973737310694,1508.6362,8.276026,34.9882,1026.3353,8.268580060305787e-07,1495.7251,4.522924,34.849304,1026.9749,-1.8546687650837593e-05,1493.1372
2023-11-01,25.744122,34.480293,1022.43536,-0.00026614630789509346,1535.6483,13.093224,34.99654,1025.3785,-0.00016707577598403471,1504.0973,8.184805,34.9949,1026.359,-8.240976748394823e-06,1495.3937,4.5489135,34.861267,1026.9792,-5.904122573543908e-06,1493.3528
2023-12-01,27.646526,33.342896,1021.145,3.4990845349522284e-05,1538.8579,13.29909,34.99675,1025.3375,-5.551862587842065e-05,1505.1008,8.172775,34.9895,1026.357,3.7833442584342095e-05,1495.3486,4.603785,34.85924,1026.9668,-1.2098167373780542e-06,1493.483
2024-01-01,27.16225,32.879128,1020.8708,0.0004467824840284029,1537.2946,13.23325,34.977158,1025.3351,9.118846452657615e-05,1504.856,8.38205,34.988,1026.314,-2.8594172818329076e-05,1496.1321,4.7469625,34.858414,1026.9373,-1.2113721790815328e-05,1494.1656
2024-02-01,27.261896,33.25858,1021.1546,-0.001991997011029943,1537.8826,13.127865,34.981705,1025.3597,-0.0004903343025341257,1504.5626,8.29885,34.984173,1026.3275,-3.5657165209918246e-06,1495.8099,4.6119876,34.852875,1026.96,-9.230811686371419e-06,1493.6051
2024-03-01,28.897823,33.4784,1021.0031,-0.0003924138891551752,1541.8619,14.264954,34.978474,1025.1298,-0.00045202894415744314,1508.0122,8.312825,34.9952,1026.3336,-1.4334707592570436e-05,1495.8728,4.625675,34.853424,1026.9576,-1.4809876815129315e-05,1493.6648
2024-04-01,27.995098,33.8451,1021.47705,-0.00038077346288822736,1539.8289,12.407411,35.06091,1025.5673,-5.540286142687024e-05,1502.3934,8.62155,35.0091,1026.283,-1.0000752305134171e-05,1497.0515,4.124363,32.416367,1025.1082,0.00012358718872335477,1490.333
2024-05-01,29.558723,33.100166,1020.5686,0.0003404513173876295,1542.8572,13.913296,34.946365,1025.1744,0.00010743276600218461,1506.8173,8.287001,34.98348,1026.3293,1.2441271243343897e-05,1495.7708,4.681325,34.85641,1026.9489,-4.021821675256251e-05,1493.8918
2024-06-01,27.90855,33.947025,1021.57587,0.0010702467809001975,1539.9973,14.394318,35.050205,1025.1613,-0.0004101993951322452,1508.6857,8.51785,34.99888,1026.2955,-2.623288485166893e-05,1496.649,4.5720377,34.85624,1026.9706,2.695852304286979e-06,1493.4456
