Unnamed: 0,file,date,latitude,longitude,ocean,profiler_type,institution,date_update,month_bin,geometry
446276,aoml/2902394/profiles/D2902394_259.nc,2022-11-03 06:07:17,11.676,83.303,I,854,AO,2023-01-10 16:02:49,2022-11,POINT (83.303 11.676)
462013,csio/2902765/profiles/D2902765_104.nc,2022-12-01 03:42:33,12.213,87.146,I,841,HZ,2025-06-04 01:45:43,2022-12,POINT (87.146 12.213)
446492,csio/2902837/profiles/R2902837_059.nc,2023-01-01 15:54:00,11.004,85.762,I,870,HZ,2023-01-01 18:00:09,2023-01,POINT (85.762 11.004)
476339,csio/2902766/profiles/D2902766_112.nc,2023-02-07 11:32:26,15.364,86.712,I,841,HZ,2024-09-05 01:52:16,2023-02,POINT (86.712 15.364)
476585,csio/2902758/profiles/R2902758_150.nc,2023-03-07 12:18:00,17.71,87.164,I,870,HZ,2023-03-20 02:44:58,2023-03,POINT (87.164 17.71)
476341,csio/2902766/profiles/D2902766_118.nc,2023-04-05 23:34:34,15.489,86.705,I,841,HZ,2024-09-05 01:52:16,2023-04,POINT (86.705 15.489)
431408,aoml/2902394/profiles/D2902394_279.nc,2023-05-17 05:38:06,7.993,82.213,I,854,AO,2025-03-26 17:33:55,2023-05,POINT (82.213 7.993)
415814,csio/2902769/profiles/D2902769_124.nc,2023-06-03 11:09:32,5.604,87.459,I,841,HZ,2025-06-03 07:06:16,2023-06,POINT (87.459 5.604)
476342,csio/2902772/profiles/D2902772_124.nc,2023-07-06 13:43:50,15.334,86.436,I,841,HZ,2025-05-29 07:58:38,2023-07,POINT (86.436 15.334)
476343,csio/2902772/profiles/D2902772_127.nc,2023-08-05 19:29:01,16.12,86.85,I,841,HZ,2025-05-29 07:58:38,2023-08,POINT (86.85 16.12)
446498,csio/2902837/profiles/R2902837_108.nc,2023-09-05 05:00:00,11.969,84.243,I,870,HZ,2023-09-05 06:00:14,2023-09,POINT (84.243 11.969)
446731,incois/4903776/profiles/D4903776_002.nc,2023-10-01 13:46:43,10.8,88.483,I,844,IN,2025-05-31 16:54:24,2023-10,POINT (88.483 10.8)
